Region,Province,Municipality
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,2,24
1,2,25
1,2,26
1,2,7
1,2,27
1,2,28
1,2,29
1,2,30
1,2,31
1,2,32
1,2,33
1,2,34
1,2,35
1,2,36
1,2,37
1,2,38
1,2,39
1,2,40
1,2,41
1,2,42
1,2,43
1,2,44
1,2,45
1,2,46
1,2,47
1,2,48
1,2,49
1,2,50
1,2,51
1,2,52
1,2,53
1,2,54
1,2,55
1,2,56
1,3,57
1,3,58
1,3,59
1,3,60
1,3,61
1,3,62
1,3,63
1,3,7
1,3,64
1,3,65
1,3,66
1,3,67
1,3,68
1,3,69
1,3,70
1,3,42
1,3,71
1,3,72
1,3,73
1,3,74
1,4,75
1,4,76
1,4,77
1,4,78
1,4,79
1,4,80
1,4,81
1,4,82
1,4,83
1,4,84
1,4,85
1,4,86
1,4,87
1,4,88
1,4,89
1,4,7
1,4,90
1,4,91
1,4,92
1,4,93
1,4,94
1,4,95
1,4,96
1,4,97
1,4,98
1,4,99
1,4,100
1,4,101
1,4,102
1,4,103
1,4,104
1,4,105
1,4,106
1,4,107
1,4,108
1,4,109
1,4,20
1,4,110
1,4,111
1,4,48
1,4,71
1,4,112
1,4,113
1,4,114
1,4,115
1,4,116
1,4,117
1,4,118
2,5,119
2,5,120
2,5,121
2,5,122
2,5,123
2,5,124
2,6,125
2,6,78
2,6,126
2,6,127
2,6,128
2,6,129
2,6,130
2,6,131
2,6,132
2,6,133
2,6,134
2,6,135
2,6,136
2,6,137
2,6,138
2,6,139
2,6,140
2,6,141
2,6,142
2,6,143
2,6,144
2,6,145
2,6,146
2,6,147
2,6,148
2,6,149
2,6,150
2,6,151
2,6,152
2,7,153
2,7,154
2,7,155
2,7,156
2,7,7
2,7,157
2,7,158
2,7,159
2,7,160
2,7,161
2,7,162
2,7,163
2,7,164
2,7,165
2,7,166
2,7,167
2,7,65
2,7,168
2,7,169
2,7,66
2,7,170
2,7,171
2,7,37
2,7,172
2,7,173
2,7,174
2,7,175
2,7,176
2,7,177
2,7,109
2,7,178
2,7,179
2,7,180
2,7,48
2,7,49
2,7,71
2,7,181
2,8,182
2,8,183
2,8,184
2,8,185
2,8,186
2,8,187
2,8,188
2,8,189
2,8,190
2,8,191
2,8,192
2,8,171
2,8,193
2,8,194
2,8,195
2,9,196
2,9,197
2,9,198
2,9,199
2,9,200
2,9,201
3,10,202
3,10,203
3,10,204
3,10,205
3,10,206
3,10,207
3,10,208
3,10,209
3,11,210
3,11,211
3,11,212
3,11,213
3,11,214
3,11,215
3,11,216
3,11,217
3,11,218
3,11,219
3,11,220
3,11,221
3,12,222
3,12,223
3,12,224
3,12,225
3,12,226
3,12,227
3,12,228
3,12,229
3,12,230
3,12,231
3,12,232
3,12,233
3,12,234
3,12,235
3,12,236
3,12,237
3,12,238
3,12,239
3,12,240
3,12,41
3,12,241
3,12,242
3,12,243
3,12,48
3,13,244
3,13,245
3,13,246
3,13,247
3,13,248
3,13,249
3,13,250
3,13,251
3,13,252
3,13,253
3,13,254
3,13,255
3,13,256
3,13,257
3,13,258
3,13,259
3,13,260
3,13,261
3,13,262
3,13,263
3,13,264
3,13,171
3,13,144
3,13,265
3,13,177
3,13,266
3,13,267
3,13,268
3,13,50
3,13,269
3,13,270
3,13,271
3,14,272
3,14,273
3,14,274
3,14,275
3,14,276
3,14,277
3,14,278
3,14,279
3,14,280
3,14,281
3,14,282
3,14,283
3,14,284
3,14,285
3,14,286
3,14,69
3,14,209
3,14,287
3,14,146
3,14,288
3,14,71
3,14,289
3,15,290
3,15,291
3,15,292
3,15,293
3,15,294
3,15,295
3,15,296
3,15,297
3,15,298
3,15,299
3,15,300
3,15,301
3,15,302
3,15,266
3,15,109
3,15,303
3,15,304
3,15,305
3,16,306
3,16,307
3,16,308
3,16,309
3,16,310
3,16,311
3,16,312
3,16,313
3,16,265
3,16,314
3,16,315
3,16,316
3,16,46
3,16,317
4,17,318
4,17,319
4,17,320
4,17,321
4,17,322
4,17,323
4,17,324
4,17,325
4,17,326
4,17,327
4,17,328
4,17,329
4,17,330
4,17,331
4,17,332
4,17,50
4,17,333
4,17,334
4,18,335
4,18,336
4,18,337
4,18,338
4,18,339
4,18,340
4,18,341
4,18,342
4,18,43
4,18,343
4,18,344
4,18,345
4,19,346
4,19,347
4,19,348
4,19,349
4,19,350
4,19,351
4,19,352
4,19,353
4,19,354
4,19,355
4,19,356
4,19,357
4,19,358
4,19,359
4,19,360
4,19,361
4,19,362
4,19,363
4,19,364
4,19,365
4,19,366
4,19,367
4,19,368
4,19,369
4,19,370
4,19,141
4,19,371
4,19,372
4,19,373
4,19,374
4,19,375
4,19,69
4,19,266
4,19,376
4,19,377
4,19,378
4,19,379
4,20,380
4,20,381
4,20,348
4,20,382
4,20,383
4,20,384
4,20,385
4,20,386
4,20,242
4,20,387
4,20,388
4,21,389
4,21,390
4,21,391
4,21,392
4,21,393
4,21,394
4,21,134
4,21,395
4,21,396
4,21,397
4,21,398
4,21,399
4,21,400
4,21,401
4,21,402
4,21,403
4,21,404
4,21,69
4,21,108
4,21,405
4,21,406
4,22,407
4,22,408
4,22,409
4,22,203
4,22,410
4,22,411
4,22,412
4,22,413
4,22,414
4,22,415
4,22,416
4,22,220
4,22,417
4,22,418
4,22,419
5,23,420
5,23,421
5,23,422
5,23,423
5,23,424
5,23,425
5,23,426
5,23,427
5,23,428
5,23,429
5,23,430
5,23,431
5,23,327
5,23,432
5,23,433
5,23,434
5,23,435
5,24,436
5,24,437
5,24,438
5,24,439
5,24,440
5,24,441
5,24,442
5,24,443
5,24,444
5,24,384
5,24,445
5,24,446
5,24,447
5,24,448
5,24,449
5,24,450
5,24,451
5,24,452
5,25,453
5,25,454
5,25,455
5,25,456
5,25,457
5,25,458
5,25,459
5,25,460
5,25,461
5,25,462
5,25,220
5,25,463
5,25,464
5,25,174
5,25,465
5,25,466
5,25,467
5,26,468
5,26,469
5,26,470
5,26,471
5,26,472
5,27,473
5,27,474
5,27,475
5,27,476
5,27,477
5,27,478
5,27,479
5,27,480
5,27,481
5,27,482
5,27,158
5,27,483
5,27,484
5,27,294
5,27,485
5,27,486
5,27,487
5,27,488
5,27,489
5,27,490
5,27,491
5,27,492
5,27,493
5,27,494
5,27,495
5,27,496
5,27,497
5,27,498
5,27,499
5,27,500
5,27,501
5,27,502
5,27,503
5,27,504
5,27,505
5,27,506
5,27,507
5,27,242
5,27,243
5,27,111
5,27,508
5,27,509
5,27,510
5,27,511
5,28,512
5,28,513
5,28,514
5,28,515
5,28,516
5,28,517
5,28,159
5,28,518
5,28,519
5,28,520
5,28,521
5,28,522
5,28,523
5,28,524
5,28,525
5,28,526
5,28,527
5,28,528
5,28,529
5,28,530
5,28,463
5,28,531
5,28,532
5,28,533
5,28,106
5,28,506
5,28,534
5,28,535
5,28,344
5,28,536
5,28,537
5,28,538
6,29,539
6,29,153
6,29,79
6,29,540
6,29,541
6,29,542
6,29,392
6,29,543
6,29,544
6,29,468
6,29,545
6,29,546
6,29,547
6,29,548
6,29,549
6,29,550
6,29,551
6,29,552
6,29,553
6,29,554
6,29,555
6,29,556
6,29,557
6,29,558
6,29,559
6,29,560
6,29,561
6,29,562
6,29,563
6,29,564
6,29,565
6,29,97
6,29,566
6,29,567
6,29,220
6,29,568
6,29,569
6,29,177
6,29,242
6,29,570
6,29,571
6,29,572
6,29,573
6,29,574
6,29,575
6,29,576
6,29,577
6,29,578
6,30,579
6,30,580
6,30,581
6,30,582
6,30,583
6,30,584
6,30,585
6,30,586
6,30,587
6,30,588
6,30,589
6,30,590
6,30,591
6,30,592
6,30,547
6,30,593
6,30,594
6,30,595
6,30,596
6,30,597
6,30,598
6,30,599
6,30,553
6,30,600
6,30,601
6,30,602
6,30,603
6,30,604
6,30,605
6,30,606
6,30,607
6,30,608
6,30,609
6,30,369
6,30,610
6,30,220
6,30,611
6,30,612
6,30,613
6,30,614
6,30,69
6,30,615
6,30,447
6,30,193
6,30,616
6,30,617
6,30,618
6,30,619
6,30,620
6,30,344
6,30,621
6,30,622
6,30,623
6,31,624
6,31,625
6,31,626
6,31,627
6,31,628
6,31,629
6,31,630
6,31,631
6,31,632
6,31,633
6,31,634
6,31,635
6,31,636
6,31,637
6,31,638
6,31,141
6,31,266
6,31,45
6,31,639
6,31,640
6,31,641
6,31,642
6,31,578
6,31,643
6,31,644
6,32,645
6,32,646
6,32,647
6,32,648
6,32,42
6,32,649
7,33,650
7,33,651
7,33,652
7,33,653
7,33,654
7,33,655
7,33,656
7,33,657
7,34,658
7,34,659
7,34,660
7,34,661
7,34,662
7,34,663
7,34,664
7,34,665
7,34,666
7,34,667
7,34,668
7,34,669
7,34,670
7,34,671
7,34,672
7,34,340
7,34,673
7,34,674
7,34,38
7,34,675
7,34,676
7,34,677
7,34,678
7,35,679
7,35,680
7,35,681
7,35,682
7,35,683
7,35,348
7,35,684
7,35,685
7,35,686
7,35,687
7,35,688
7,35,689
7,35,690
7,35,691
7,35,692
7,35,693
7,35,694
7,35,695
7,35,696
7,35,697
7,35,698
7,35,296
7,35,699
7,35,700
7,35,701
7,35,702
7,35,703
7,35,704
7,35,705
7,35,706
7,35,707
7,35,708
7,35,709
7,35,177
7,35,242
7,35,193
7,35,710
7,35,711
7,35,712
7,35,713
7,35,714
7,35,715
7,35,716
7,36,717
7,36,718
7,36,719
7,36,720
7,36,721
7,36,722
7,36,723
7,36,724
7,36,725
7,36,726
7,36,727
7,36,728
7,36,729
7,36,730
7,36,731
7,36,732
7,36,68
7,36,265
7,36,177
7,36,266
7,36,733
7,36,43
7,36,734
7,36,305
7,37,735
7,37,736
7,37,737
7,37,738
7,37,739
7,37,740
7,37,741
7,37,742
7,37,743
7,37,744
7,37,745
7,37,746
7,37,747
7,37,748
7,37,749
7,37,750
7,37,751
7,37,752
7,37,753
7,37,288
7,37,149
7,37,754
7,37,755
7,37,756
7,37,757
7,37,758
7,38,759
7,38,760
7,38,761
7,38,762
7,38,763
7,38,603
7,38,764
7,38,497
7,38,765
7,38,766
7,38,767
7,38,768
7,38,769
7,38,615
7,38,42
7,38,770
7,38,771
7,38,618
7,38,772
8,39,773
8,39,774
8,39,775
8,39,776
8,39,777
8,39,778
8,39,779
8,39,780
8,39,636
8,39,781
8,39,782
8,39,783
8,39,784
8,39,785
8,39,786
8,39,787
8,39,144
8,39,174
8,39,788
8,39,789
8,39,790
8,39,791
8,39,792
8,39,793
8,39,794
8,39,795
8,39,796
8,40,155
8,40,797
8,40,798
8,40,799
8,40,800
8,40,801
8,40,802
8,40,803
8,40,804
8,40,805
8,40,806
8,40,807
8,40,808
8,40,809
8,40,810
8,40,811
8,40,812
8,40,813
8,40,814
8,40,242
8,40,180
8,40,815
8,40,816
8,40,817
8,40,818
8,40,819
8,40,820
8,40,821
8,41,153
8,41,822
8,41,823
8,41,824
8,41,825
8,41,826
8,41,827
8,41,828
8,41,369
8,41,829
8,41,830
8,41,831
8,41,832
8,41,833
8,41,834
8,41,835
9,42,836
9,42,837
9,42,838
9,42,839
9,42,840
9,42,841
9,42,842
9,42,843
9,42,844
9,42,845
9,42,846
9,42,847
9,42,848
9,42,766
9,42,849
9,42,850
9,42,851
9,42,171
9,42,69
9,42,852
9,42,853
9,42,578
9,43,721
9,43,854
9,43,855
9,43,856
9,43,532
9,44,512
9,44,857
9,44,858
9,44,859
9,44,860
9,44,861
9,44,862
9,44,863
9,44,864
9,44,865
9,44,866
9,44,867
9,44,868
9,44,869
9,44,870
9,44,871
9,44,872
9,44,873
9,44,874
9,44,875
9,44,876
9,44,877
9,44,878
9,45,879
9,45,880
9,45,881
9,45,882
9,45,549
9,45,294
9,45,883
9,45,884
9,45,885
9,45,886
9,45,887
9,45,888
9,45,239
9,45,889
9,45,890
9,45,891
9,45,623
9,46,892
9,46,893
9,46,894
9,46,895
9,46,896
9,46,134
9,46,897
9,46,898
9,46,899
9,46,900
9,46,901
9,46,902
9,46,903
9,46,904
9,46,444
9,46,905
9,46,865
9,46,906
9,46,907
9,46,908
9,46,909
9,46,910
9,46,911
9,46,876
9,46,912
9,46,913
10,47,595
10,47,914
10,47,97
10,47,915
10,47,916
10,47,917
10,47,918
10,47,919
10,47,920
10,47,921
10,47,922
10,48,923
10,48,924
10,48,547
10,48,925
10,48,926
10,48,927
10,48,221
10,48,177
10,48,71
10,48,928
10,48,929
10,49,930
10,49,931
10,49,932
10,49,231
10,49,933
10,49,865
10,49,934
10,49,935
10,49,936
10,49,46
10,49,937
10,50,938
10,50,939
10,50,940
10,50,48
10,50,941
10,51,942
10,51,943
10,51,944
10,51,945
10,51,946
10,51,947
10,51,948
10,51,949
10,51,950
10,51,177
10,51,951
11,52,952
11,52,953
11,52,954
11,52,955
11,52,956
11,52,547
11,52,957
11,52,958
11,52,959
11,52,960
11,52,961
11,52,962
11,52,963
11,52,964
11,52,965
11,52,966
11,52,464
11,52,967
11,53,968
11,53,969
11,53,970
11,53,971
11,53,972
11,53,973
11,53,974
11,54,422
11,54,975
11,54,976
11,54,977
11,54,978
11,54,979
11,54,149
11,54,980
11,54,981
11,54,982
11,54,983
11,54,984
11,55,985
11,55,986
11,55,396
11,55,987
11,55,988
11,55,989
11,55,990
11,55,991
11,55,992
11,55,993
11,55,994
11,55,995
12,56,468
12,56,996
12,56,997
12,56,547
12,56,998
12,56,999
12,56,1000
12,56,415
12,56,1001
12,56,1002
12,56,49
12,56,1003
12,57,1004
12,57,1005
12,57,396
12,57,296
12,57,1006
12,57,1007
12,57,68
12,57,615
12,57,209
12,57,1008
12,57,1009
12,57,1010
12,57,1011
12,57,1012
12,58,1013
12,58,1014
12,58,1015
12,58,1016
12,58,1006
12,58,266
12,58,1017
12,59,581
12,59,1018
12,59,7
12,59,1019
12,59,1020
12,59,1021
12,59,1022
12,59,1023
12,59,1024
12,59,1025
12,59,220
12,59,404
12,59,1026
12,59,615
12,59,177
12,59,1027
12,59,112
12,59,1028
12,59,1029
12,59,1030
12,59,878
12,60,1031
12,60,1032
12,60,1033
12,60,1034
12,60,1035
12,60,547
12,60,1036
12,60,551
12,60,1037
12,60,1038
12,60,1039
12,60,1040
12,60,1041
12,60,1042
12,60,175
12,60,242
12,60,1043
12,60,1044
12,60,1045
13,61,1046
13,61,1047
13,61,1048
13,61,421
13,61,1049
13,61,1050
13,61,1051
13,61,1052
13,61,1053
13,61,1054
13,61,1055
13,61,495
13,61,1056
13,61,1057
13,61,1058
13,61,97
13,61,1059
13,61,1060
13,61,1061
13,61,1062
13,61,68
13,61,266
13,61,42
13,61,209
13,61,20
13,61,405
13,61,148
13,61,71
13,61,1063
13,61,344
13,61,713
13,61,1064
13,61,1065
13,61,1066
13,62,1067
13,62,1068
13,62,1069
13,62,1070
13,62,1071
13,62,1072
13,62,1073
13,62,1074
13,62,1075
13,62,1076
13,62,1077
13,62,1078
13,62,415
13,62,1079
13,62,1080
13,62,1081
13,62,1082
13,62,68
13,62,1083
13,62,1084
13,62,1085
13,62,1086
13,62,1087
13,63,77
13,63,1088
13,63,1089
13,63,1090
13,63,882
13,63,1091
13,63,1092
13,63,1093
13,63,1094
13,63,1095
13,63,1096
13,63,1097
13,63,1098
13,63,1099
13,63,1100
13,63,1101
13,63,1102
13,63,1103
13,63,1104
13,63,1105
13,63,1106
13,63,1107
13,63,144
13,63,180
13,63,1108
13,63,46
13,63,48
13,63,268
13,63,1109
13,63,305
13,64,1110
13,64,1111
13,64,1112
13,64,468
13,64,1113
13,64,1114
13,64,308
13,64,1115
13,64,663
13,64,1022
13,64,1116
13,64,1117
13,64,1118
13,64,93
13,64,1119
13,64,1120
13,64,1121
13,64,1122
13,64,1123
13,64,1124
13,64,1125
13,64,767
13,64,1126
13,64,1127
13,64,1128
13,64,1129
13,64,813
13,64,239
13,64,1130
13,64,171
13,64,1131
13,64,1132
13,64,386
13,64,265
13,64,615
13,64,316
13,64,1133
13,64,1134
13,64,1135
13,64,1136
13,64,1137
13,65,1138
13,65,1139
13,65,381
13,65,1140
13,65,1141
13,65,1142
13,65,1143
13,65,217
13,65,1144
13,65,1145
13,65,179
13,65,1146
13,65,1147
13,65,1148
14,66,1149
14,66,1150
14,66,1151
14,66,1152
14,66,524
14,66,1153
14,66,1154
14,66,1155
14,66,1156
14,66,1157
14,66,1158
14,66,622
14,66,1159
14,67,1160
14,67,1161
14,67,1162
14,67,1163
14,67,1164
14,67,1165
14,67,1166
14,67,1167
14,67,1168
14,67,1169
14,67,1170
14,67,1171
14,67,1172
14,67,860
14,67,1173
14,67,1174
14,67,1175
14,67,1176
14,67,1177
14,67,1178
14,67,1179
14,67,1180
14,67,1181
14,67,1182
14,67,1183
14,67,1184
14,67,1185
14,67,1186
14,67,1187
14,67,1188
14,67,1189
14,67,1190
14,67,1191
14,67,1192
14,67,1193
14,67,1194
14,67,1195
14,67,1196
14,67,1197
14,67,1198
14,68,1199
14,68,1200
14,68,1201
14,68,1202
14,68,1203
14,68,1204
14,68,1205
14,68,1206
14,68,1207
14,68,1208
14,68,1209
14,68,1210
14,68,1211
14,68,1212
14,68,1213
14,68,1214
14,68,1215
14,68,1216
14,68,1217
14,68,1218
14,68,1219
14,68,1220
14,68,1221
14,68,1222
14,68,1223
14,68,1224
14,68,1225
14,68,1226
14,68,1227
14,68,1228
14,68,1229
14,68,1230
14,68,1231
14,68,1232
14,68,1233
14,68,1234
14,68,1235
14,69,1236
14,69,1237
14,69,1238
14,69,1239
14,69,1240
14,69,1241
14,69,1242
14,69,1243
14,69,1244
14,69,1245
14,69,1246
14,69,1247
14,69,1248
14,69,1225
14,69,1249
14,69,1250
14,69,1251
14,69,1252
14,69,1253
14,70,1254
14,70,1255
14,70,1256
14,70,1257
14,70,1258
14,70,1259
14,70,1260
14,70,1261
14,70,1262
14,70,1263
14,70,1264
15,71,1265
15,71,1266
15,71,1267
15,71,1268
15,71,1269
15,71,1270
15,71,663
15,71,296
15,71,1271
15,71,1272
15,71,1273
15,71,1274
15,71,1275
15,71,1276
15,71,1277
15,71,1278
15,71,1279
15,71,1280
15,71,220
15,71,1281
15,71,177
15,71,42
15,71,110
15,71,1282
15,71,1283
15,71,1284
15,71,1285
15,72,1286
15,72,1287
15,72,1288
15,72,1289
15,72,65
15,72,1290
15,72,1291
15,73,1292
15,73,1293
15,73,1294
15,73,1295
15,73,1296
15,73,1297
15,73,1298
15,73,1299
15,73,1300
15,73,1301
15,73,1302
15,73,1303
15,73,1304
15,73,1305
15,74,1306
15,74,1307
15,74,1308
15,74,1309
15,74,1310
15,74,1311
15,74,1312
15,74,1313
15,74,1314
15,74,1315
15,74,1316
15,75,1317
15,75,1318
15,75,1319
15,75,1320
15,75,144
15,75,1321
15,75,1322
15,75,1323
15,76,1324
15,76,1325
15,76,1326
15,76,760
15,76,1327
15,76,1328
15,76,1329
15,76,1330
15,76,1331
15,76,1332
16,77,1333
16,77,468
16,77,1334
16,77,1335
16,77,46
16,77,1336
16,78,1337
16,78,1338
16,78,1339
16,78,1340
16,78,865
16,78,1341
16,78,1342
16,78,144
16,78,1343
16,78,266
16,78,46
16,79,1344
16,79,1345
16,79,1346
16,79,1347
16,79,1348
16,79,1349
16,79,1350
16,79,1351
16,79,1352
16,79,1353
16,79,1354
16,79,174
16,79,1355
16,79,1028
16,79,305
16,80,1356
16,80,1357
16,80,1358
16,80,1359
16,80,1360
16,80,1361
16,80,1362
16,80,1363
16,80,1364
16,80,1365
16,80,1366
16,80,1367
16,80,1368
16,80,1094
16,80,1369
16,80,865
16,80,1370
16,80,1371
16,80,171
16,80,144
16,80,174
16,80,43
16,80,1372
16,80,1147
16,81,579
16,81,1373
16,81,1374
16,81,516
16,81,294
16,81,1375
16,81,1376
16,81,1339
16,81,1377
16,81,1378
16,81,1379
16,81,175
16,81,386
16,81,69
16,81,266
16,81,193
16,81,48
17,82,1380
17,82,1381
17,82,1382
17,82,1383
17,82,1384
17,82,1385
17,82,1386
17,82,1387
17,82,1388
17,82,1389
17,82,1390
17,82,1391
17,82,1392
17,82,1393
17,82,42
17,82,1394
17,82,1395
